CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpent,NumTransactions,NumInteractions,UnresolvedCount,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,Churn,AgeGroup,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,RiskFlag
12,41,F,Married,Low,87.1,1,2.0,1.0,2023-12-31,43,Website,0,Not Churned,40-49,1,43,87.1,5,5,1,551,Loyal,At Risk
13,24,F,Divorced,Low,392.02,3,1.0,0.0,2023-07-05,10,Mobile App,0,Not Churned,20-29,180,10,392.02,3,1,1,311,Others,Monitor
14,42,M,Widowed,Medium,2843.59,9,2.0,1.0,2023-01-10,26,Online Banking,0,Not Churned,40-49,356,26,2843.59,1,3,5,135,Others,At Risk
15,42,M,Divorced,Medium,1914.02,8,2.0,2.0,2023-06-15,44,Online Banking,0,Not Churned,40-49,200,44,1914.02,3,5,4,354,Loyal,At Risk
16,30,F,Single,Medium,2019.79,9,2.0,0.0,2023-03-15,41,Online Banking,1,Churned,30-39,292,41,2019.79,1,5,5,155,Frequent,Monitor
17,19,M,Married,Low,1625.27,7,2.0,1.0,2023-09-03,8,Online Banking,0,Not Churned,<20,120,8,1625.27,4,1,4,414,Recent,At Risk
18,56,F,Married,High,951.38,5,1.0,1.0,2023-11-24,37,Website,1,Churned,50-59,38,37,951.38,5,4,2,542,Loyal,At Risk
19,57,F,Divorced,High,1017.26,5,2.0,2.0,2023-03-08,39,Online Banking,0,Not Churned,50-59,299,39,1017.26,1,4,3,143,Frequent,At Risk
20,41,M,Single,Low,2775.85,9,1.0,0.0,2023-08-15,16,Website,0,Not Churned,40-49,139,16,2775.85,3,2,5,325,Others,Monitor
21,64,M,Divorced,High,913.02,5,0.0,0.0,2023-06-16,18,Website,0,Not Churned,60-69,199,18,913.02,3,2,2,322,Others,Monitor
22,42,F,Divorced,Low,1582.73,6,2.0,0.0,2023-05-06,42,Mobile App,0,Not Churned,40-49,240,42,1582.73,2,5,4,254,Frequent,Monitor
23,35,F,Divorced,Low,1490.74,4,2.0,1.0,2023-07-07,19,Mobile App,0,Not Churned,30-39,178,19,1490.74,3,2,4,324,Others,At Risk
24,55,M,Widowed,Medium,1143.22,5,1.0,0.0,2023-10-04,12,Mobile App,0,Not Churned,50-59,89,12,1143.22,4,2,3,423,Recent,Monitor
25,43,F,Married,Low,764.77,3,1.0,0.0,2023-02-15,27,Mobile App,0,Not Churned,40-49,320,27,764.77,1,3,2,132,Others,Monitor
26,31,M,Single,Medium,571.76,3,1.0,0.0,2023-09-29,45,Mobile App,1,Churned,30-39,94,45,571.76,4,5,2,452,Loyal,Safe
27,26,M,Widowed,Medium,2210.6,8,1.0,1.0,2023-10-01,22,Mobile App,0,Not Churned,20-29,92,22,2210.6,4,2,5,425,Recent,At Risk
28,27,F,Widowed,High,1702.26,6,2.0,2.0,2023-10-26,42,Online Banking,0,Not Churned,20-29,67,42,1702.26,5,5,4,554,Champions,At Risk
29,38,F,Divorced,Medium,853.0699999999999,3,2.0,1.0,2023-09-02,34,Website,0,Not Churned,30-39,121,34,853.0699999999999,4,4,2,442,Loyal,At Risk
30,69,M,Divorced,High,706.66,2,2.0,1.0,2023-07-12,38,Website,0,Not Churned,60-69,173,38,706.66,3,4,2,342,Loyal,At Risk
31,34,M,Divorced,Low,1108.56,5,2.0,0.0,2023-08-17,23,Online Banking,0,Not Churned,30-39,137,23,1108.56,4,3,3,433,Loyal,Safe
32,69,F,Married,High,1225.52,5,0.0,0.0,2023-01-06,48,Mobile App,0,Not Churned,60-69,360,48,1225.52,1,5,3,153,Frequent,Monitor
33,23,M,Divorced,High,689.0,2,1.0,0.0,2023-05-19,24,Mobile App,1,Churned,20-29,227,24,689.0,2,3,2,232,Others,Monitor
34,33,M,Widowed,High,1886.4,9,2.0,1.0,2023-04-03,44,Online Banking,0,Not Churned,30-39,273,44,1886.4,2,5,4,254,Frequent,At Risk
35,65,M,Married,Low,779.8399999999999,3,1.0,1.0,2023-05-23,19,Mobile App,0,Not Churned,60-69,223,19,779.8399999999999,2,2,2,222,At Risk,At Risk
36,18,F,Widowed,Low,1321.5500000000002,6,1.0,0.0,2023-02-11,6,Online Banking,0,Not Churned,<20,324,6,1321.5500000000002,1,1,3,113,At Risk,At Risk
37,36,F,Married,Medium,3166.88,9,1.0,0.0,2023-08-28,3,Online Banking,0,Not Churned,30-39,126,3,3166.88,4,1,5,415,Recent,Monitor
38,53,F,Married,Low,874.86,3,1.0,0.0,2023-11-27,47,Online Banking,0,Not Churned,50-59,35,47,874.86,5,5,2,552,Loyal,Safe
39,42,M,Married,Medium,1191.94,5,0.0,0.0,2023-01-20,26,Online Banking,0,Not Churned,40-49,346,26,1191.94,1,3,3,133,Others,Monitor
40,67,F,Widowed,Low,1578.35,7,1.0,0.0,2023-10-14,20,Website,0,Not Churned,60-69,79,20,1578.35,4,2,4,424,Recent,Monitor
41,69,F,Married,High,363.22,2,1.0,1.0,2023-07-04,38,Mobile App,1,Churned,60-69,181,38,363.22,3,4,1,341,Loyal,At Risk
42,47,M,Widowed,Medium,530.61,3,0.0,0.0,2023-07-17,10,Mobile App,0,Not Churned,40-49,168,10,530.61,3,1,2,312,Others,Monitor
43,37,M,Single,Low,2213.63,7,2.0,1.0,2023-05-25,25,Mobile App,0,Not Churned,30-39,221,25,2213.63,2,3,5,235,Others,At Risk
44,37,F,Widowed,Low,687.8199999999999,3,1.0,1.0,2023-11-13,35,Mobile App,0,Not Churned,30-39,49,35,687.8199999999999,5,4,2,542,Loyal,At Risk
45,32,F,Widowed,Low,300.42,1,1.0,1.0,2023-09-02,49,Online Banking,0,Not Churned,30-39,121,49,300.42,4,5,1,451,Loyal,At Risk
46,57,F,Married,High,134.67,1,0.0,0.0,2023-07-31,24,Online Banking,1,Churned,50-59,154,24,134.67,3,3,1,331,Loyal,Safe
47,50,F,Married,Medium,1466.37,7,0.0,0.0,2023-04-19,21,Website,0,Not Churned,50-59,257,21,1466.37,2,2,4,224,At Risk,At Risk
48,19,M,Divorced,Medium,1597.29,7,0.0,0.0,2023-06-12,34,Website,0,Not Churned,<20,203,34,1597.29,3,4,4,344,Loyal,Safe
49,27,F,Single,Medium,641.48,3,0.0,0.0,2023-02-19,18,Online Banking,0,Not Churned,20-29,316,18,641.48,1,2,2,122,At Risk,At Risk
50,50,F,Single,Low,1514.62,4,2.0,2.0,2023-07-15,19,Online Banking,0,Not Churned,50-59,170,19,1514.62,3,2,4,324,Others,At Risk
51,49,M,Divorced,Medium,549.86,3,0.0,0.0,2023-10-31,3,Mobile App,1,Churned,40-49,62,3,549.86,5,1,2,512,Recent,Monitor
52,28,M,Widowed,Medium,401.25,1,0.0,0.0,2023-02-16,6,Mobile App,0,Not Churned,20-29,319,6,401.25,1,1,1,111,At Risk,At Risk
53,41,F,Widowed,Low,1255.34,7,0.0,0.0,2023-10-02,20,Mobile App,0,Not Churned,40-49,91,20,1255.34,4,2,3,423,Recent,Monitor
54,53,F,Married,Low,461.21,2,2.0,0.0,2023-01-20,22,Online Banking,0,Not Churned,50-59,346,22,461.21,1,2,1,121,At Risk,At Risk
55,29,F,Single,Low,1129.35,5,0.0,0.0,2023-08-18,33,Website,0,Not Churned,20-29,136,33,1129.35,4,4,3,443,Loyal,Safe
56,68,F,Married,Low,1443.46,5,0.0,0.0,2023-08-20,14,Mobile App,0,Not Churned,60-69,134,14,1443.46,4,2,3,423,Recent,Monitor
57,46,F,Divorced,High,597.75,3,1.0,1.0,2023-07-20,44,Online Banking,0,Not Churned,40-49,165,44,597.75,3,5,2,352,Loyal,At Risk
58,52,M,Single,High,2215.82,6,2.0,2.0,2023-04-17,9,Online Banking,0,Not Churned,50-59,259,9,2215.82,2,1,5,215,At Risk,At Risk
59,18,M,Married,Medium,292.51,3,0.0,0.0,2023-12-11,45,Online Banking,0,Not Churned,<20,21,45,292.51,5,5,1,551,Loyal,Safe
60,18,F,Single,High,781.09,4,2.0,1.0,2023-03-02,25,Mobile App,0,Not Churned,<20,305,25,781.09,1,3,2,132,Others,At Risk
61,54,M,Single,Low,678.97,3,1.0,0.0,2023-12-27,47,Website,1,Churned,50-59,5,47,678.97,5,5,2,552,Loyal,Safe
62,23,F,Married,High,840.0,4,2.0,0.0,2023-08-27,16,Mobile App,0,Not Churned,20-29,127,16,840.0,4,2,2,422,Recent,Monitor
63,56,M,Married,Low,2205.11,9,0.0,0.0,2023-05-26,7,Mobile App,0,Not Churned,50-59,220,7,2205.11,2,1,5,215,At Risk,At Risk
64,58,F,Single,High,965.21,3,0.0,0.0,2023-06-03,11,Online Banking,0,Not Churned,50-59,212,11,965.21,2,1,2,212,At Risk,At Risk
65,35,F,Divorced,Low,1359.89,5,0.0,0.0,2023-09-25,27,Mobile App,0,Not Churned,30-39,98,27,1359.89,4,3,3,433,Loyal,Safe
66,33,M,Widowed,Medium,1409.11,8,0.0,0.0,2023-08-17,40,Online Banking,0,Not Churned,30-39,137,40,1409.11,4,4,3,443,Loyal,Safe
67,22,F,Single,Medium,701.76,4,2.0,0.0,2023-07-23,17,Online Banking,0,Not Churned,20-29,162,17,701.76,3,2,2,322,Others,Monitor
68,59,F,Divorced,High,886.4799999999999,4,2.0,2.0,2023-07-25,5,Website,1,Churned,50-59,160,5,886.4799999999999,3,1,2,312,Others,At Risk
69,60,F,Single,Low,1038.53,4,1.0,0.0,2023-11-13,29,Mobile App,0,Not Churned,60-69,49,29,1038.53,5,3,3,533,Loyal,Safe
70,49,F,Married,Medium,2453.98,7,0.0,0.0,2023-03-15,10,Mobile App,0,Not Churned,40-49,292,10,2453.98,1,1,5,115,At Risk,At Risk
71,19,F,Divorced,Low,474.59,3,2.0,1.0,2023-08-17,47,Online Banking,1,Churned,<20,137,47,474.59,4,5,1,451,Loyal,At Risk
72,19,F,Divorced,High,1080.4,6,2.0,1.0,2023-04-25,25,Online Banking,1,Churned,<20,251,25,1080.4,2,3,3,233,Others,At Risk
73,57,M,Single,Low,2254.22,9,1.0,0.0,2023-10-27,24,Online Banking,1,Churned,50-59,66,24,2254.22,5,3,5,535,Loyal,Safe
74,59,M,Widowed,Low,2083.79,8,1.0,0.0,2023-02-19,44,Mobile App,0,Not Churned,50-59,316,44,2083.79,1,5,5,155,Frequent,Monitor
75,53,F,Single,High,769.97,4,1.0,0.0,2023-06-17,12,Mobile App,1,Churned,50-59,198,12,769.97,3,2,2,322,Others,Monitor
76,56,F,Widowed,Medium,883.92,4,2.0,1.0,2023-05-09,5,Website,1,Churned,50-59,237,5,883.92,2,1,2,212,At Risk,At Risk
77,29,M,Divorced,High,1797.06,8,0.0,0.0,2023-10-15,29,Online Banking,0,Not Churned,20-29,78,29,1797.06,4,3,4,434,Loyal,Safe
78,64,M,Widowed,Low,816.89,3,1.0,1.0,2023-10-07,35,Mobile App,0,Not Churned,60-69,86,35,816.89,4,4,2,442,Loyal,At Risk
79,36,M,Married,High,931.32,3,1.0,0.0,2023-04-20,23,Online Banking,1,Churned,30-39,256,23,931.32,2,3,2,232,Others,Monitor
80,45,M,Widowed,High,110.82,1,0.0,0.0,2023-06-09,32,Mobile App,0,Not Churned,40-49,206,32,110.82,3,4,1,341,Loyal,Safe
81,18,F,Widowed,Low,2181.77,8,0.0,0.0,2023-12-03,40,Website,1,Churned,<20,29,40,2181.77,5,4,5,545,Champions,Safe
82,32,F,Divorced,High,232.38,1,0.0,0.0,2023-05-08,19,Mobile App,0,Not Churned,30-39,238,19,232.38,2,2,1,221,At Risk,At Risk
83,53,M,Widowed,Medium,1419.9199999999998,6,2.0,2.0,2023-12-31,25,Mobile App,0,Not Churned,50-59,1,25,1419.9199999999998,5,3,3,533,Loyal,At Risk
84,30,M,Divorced,Medium,1545.91,5,0.0,0.0,2023-11-30,45,Online Banking,0,Not Churned,30-39,32,45,1545.91,5,5,4,554,Champions,Safe
85,60,M,Married,High,1690.08,9,0.0,0.0,2023-08-08,37,Mobile App,0,Not Churned,60-69,146,37,1690.08,3,4,4,344,Loyal,Safe
86,38,M,Married,Low,1674.66,7,0.0,0.0,2023-10-18,1,Website,0,Not Churned,30-39,75,1,1674.66,5,1,4,514,Recent,Monitor
87,29,F,Single,High,1411.84,5,2.0,1.0,2023-11-22,43,Website,0,Not Churned,20-29,40,43,1411.84,5,5,3,553,Loyal,At Risk
88,22,M,Single,High,447.34,2,0.0,0.0,2023-02-08,13,Online Banking,0,Not Churned,20-29,327,13,447.34,1,2,1,121,At Risk,At Risk
89,24,M,Single,Medium,1951.99,7,0.0,0.0,2023-09-06,12,Mobile App,0,Not Churned,20-29,117,12,1951.99,4,2,4,424,Recent,Monitor
90,22,M,Married,Medium,1229.96,6,1.0,0.0,2023-05-30,47,Online Banking,0,Not Churned,20-29,216,47,1229.96,2,5,3,253,Frequent,Monitor
91,65,F,Widowed,Low,1804.74,9,2.0,1.0,2023-02-03,43,Mobile App,0,Not Churned,60-69,332,43,1804.74,1,5,4,154,Frequent,At Risk
92,21,F,Divorced,Low,2265.28,8,2.0,1.0,2023-07-01,37,Mobile App,0,Not Churned,20-29,184,37,2265.28,3,4,5,345,Loyal,At Risk
93,30,F,Married,Low,848.07,5,2.0,0.0,2023-10-16,42,Mobile App,0,Not Churned,30-39,77,42,848.07,4,5,2,452,Loyal,Safe
94,54,M,Widowed,High,1113.61,3,0.0,0.0,2023-06-27,41,Website,0,Not Churned,50-59,188,41,1113.61,3,5,3,353,Loyal,Safe
95,58,F,Single,High,677.27,3,1.0,0.0,2023-06-20,12,Online Banking,0,Not Churned,50-59,195,12,677.27,3,2,2,322,Others,Monitor
96,32,F,Divorced,High,161.84,1,2.0,2.0,2023-02-27,36,Mobile App,0,Not Churned,30-39,308,36,161.84,1,4,1,141,Frequent,At Risk
97,33,M,Single,High,553.65,2,2.0,0.0,2023-12-20,38,Website,0,Not Churned,30-39,12,38,553.65,5,4,2,542,Loyal,Safe
98,38,F,Divorced,Low,893.76,5,1.0,0.0,2023-05-23,9,Mobile App,0,Not Churned,30-39,223,9,893.76,2,1,2,212,At Risk,At Risk
99,53,M,Widowed,Low,889.75,5,0.0,0.0,2023-02-10,14,Online Banking,0,Not Churned,50-59,325,14,889.75,1,2,2,122,At Risk,At Risk
100,41,F,Married,Low,1108.56,4,2.0,0.0,2023-06-02,45,Online Banking,1,Churned,40-49,213,45,1108.56,2,5,3,253,Frequent,Monitor
101,33,F,Single,High,492.35,1,2.0,1.0,2023-01-15,35,Online Banking,0,Not Churned,30-39,351,35,492.35,1,4,1,141,Frequent,At Risk
102,31,M,Married,High,2029.96,6,2.0,1.0,2023-01-14,32,Online Banking,0,Not Churned,30-39,352,32,2029.96,1,4,5,145,Frequent,At Risk
103,39,M,Widowed,Low,2297.73,9,2.0,0.0,2023-04-27,46,Mobile App,0,Not Churned,30-39,249,46,2297.73,2,5,5,255,Frequent,Monitor
104,66,F,Widowed,Medium,2666.84,9,2.0,1.0,2023-03-23,3,Online Banking,1,Churned,60-69,284,3,2666.84,2,1,5,215,At Risk,At Risk
105,67,F,Widowed,Low,1863.6,8,2.0,2.0,2023-12-24,30,Website,0,Not Churned,60-69,8,30,1863.6,5,3,4,534,Loyal,At Risk
106,23,M,Married,High,875.08,3,2.0,1.0,2023-07-20,49,Mobile App,0,Not Churned,20-29,165,49,875.08,3,5,2,352,Loyal,At Risk
107,59,F,Married,High,1542.76,6,0.0,0.0,2023-01-27,7,Online Banking,1,Churned,50-59,339,7,1542.76,1,1,4,114,At Risk,At Risk
108,53,M,Divorced,Low,494.31,2,2.0,2.0,2023-03-24,1,Mobile App,1,Churned,50-59,283,1,494.31,2,1,1,211,At Risk,At Risk
109,18,M,Married,Medium,1274.7,6,2.0,2.0,2023-04-28,20,Mobile App,0,Not Churned,<20,248,20,1274.7,2,2,3,223,At Risk,At Risk
110,49,M,Married,Medium,723.0,3,2.0,0.0,2023-10-10,25,Website,1,Churned,40-49,83,25,723.0,4,3,2,432,Loyal,Safe
111,23,F,Widowed,High,613.1800000000001,2,1.0,1.0,2023-06-17,33,Website,1,Churned,20-29,198,33,613.1800000000001,3,4,2,342,Loyal,At Risk
112,48,F,Divorced,High,750.17,3,1.0,0.0,2023-10-16,35,Website,0,Not Churned,40-49,77,35,750.17,4,4,2,442,Loyal,Safe
113,18,F,Married,High,1834.01,7,1.0,1.0,2023-04-12,44,Online Banking,0,Not Churned,<20,264,44,1834.01,2,5,4,254,Frequent,At Risk
114,67,F,Married,Low,2133.28,8,0.0,0.0,2023-08-02,24,Website,0,Not Churned,60-69,152,24,2133.28,3,3,5,335,Loyal,Safe
115,68,F,Widowed,High,653.62,5,0.0,0.0,2023-09-21,14,Mobile App,0,Not Churned,60-69,102,14,653.62,4,2,2,422,Recent,Monitor
116,54,M,Married,High,1504.28,7,1.0,0.0,2023-08-20,39,Mobile App,0,Not Churned,50-59,134,39,1504.28,4,4,4,444,Champions,Safe
117,52,F,Widowed,High,448.48,2,0.0,0.0,2023-12-25,44,Online Banking,0,Not Churned,50-59,7,44,448.48,5,5,1,551,Loyal,Safe
118,66,M,Divorced,Medium,1625.39,6,1.0,1.0,2023-10-01,34,Online Banking,0,Not Churned,60-69,92,34,1625.39,4,4,4,444,Champions,At Risk
119,47,M,Widowed,Medium,2012.33,8,2.0,0.0,2023-03-29,18,Mobile App,1,Churned,40-49,278,18,2012.33,2,2,5,225,At Risk,At Risk
120,21,F,Widowed,High,1168.79,6,2.0,1.0,2023-02-23,2,Online Banking,0,Not Churned,20-29,312,2,1168.79,1,1,3,113,At Risk,At Risk
121,52,M,Divorced,Medium,1073.01,5,2.0,1.0,2023-09-09,38,Mobile App,0,Not Churned,50-59,114,38,1073.01,4,4,3,443,Loyal,At Risk
122,60,F,Single,Medium,2825.52,9,1.0,0.0,2023-06-14,17,Mobile App,1,Churned,60-69,201,17,2825.52,3,2,5,325,Others,Monitor
123,31,M,Widowed,Medium,938.58,3,2.0,0.0,2023-03-15,23,Mobile App,1,Churned,30-39,292,23,938.58,1,3,2,132,Others,Monitor
124,66,M,Married,Medium,2283.88,7,2.0,0.0,2023-02-19,33,Website,0,Not Churned,60-69,316,33,2283.88,1,4,5,145,Frequent,Monitor
125,57,M,Widowed,Low,744.89,2,0.0,0.0,2023-06-21,28,Online Banking,0,Not Churned,50-59,194,28,744.89,3,3,2,332,Loyal,Safe
126,39,F,Divorced,Medium,2323.02,9,0.0,0.0,2023-05-14,15,Website,0,Not Churned,30-39,232,15,2323.02,2,2,5,225,At Risk,At Risk
127,27,F,Married,Medium,1976.17,8,1.0,0.0,2023-01-18,11,Website,0,Not Churned,20-29,348,11,1976.17,1,1,4,114,At Risk,At Risk
128,18,F,Divorced,Medium,630.2,2,2.0,1.0,2023-07-07,23,Website,1,Churned,<20,178,23,630.2,3,3,2,332,Loyal,At Risk
129,28,F,Widowed,Medium,243.55,2,1.0,0.0,2023-03-21,13,Website,0,Not Churned,20-29,286,13,243.55,2,2,1,221,At Risk,At Risk
130,68,M,Divorced,Low,552.23,2,1.0,1.0,2023-02-25,47,Mobile App,0,Not Churned,60-69,310,47,552.23,1,5,2,152,Frequent,At Risk
131,61,F,Divorced,Low,2726.7,8,1.0,0.0,2023-09-24,11,Website,0,Not Churned,60-69,99,11,2726.7,4,1,5,415,Recent,Monitor
132,41,F,Single,High,1879.94,9,0.0,0.0,2023-06-15,36,Website,0,Not Churned,40-49,200,36,1879.94,3,4,4,344,Loyal,Safe
133,20,M,Widowed,Medium,896.27,4,1.0,0.0,2023-04-13,38,Mobile App,0,Not Churned,20-29,263,38,896.27,2,4,2,242,Frequent,Monitor
134,52,M,Widowed,Medium,1570.08,6,1.0,1.0,2023-01-05,27,Mobile App,0,Not Churned,50-59,361,27,1570.08,1,3,4,134,Others,At Risk
135,53,F,Widowed,High,441.75,2,0.0,0.0,2023-06-19,18,Mobile App,0,Not Churned,50-59,196,18,441.75,3,2,1,321,Others,Monitor
136,48,M,Widowed,Low,419.86,2,0.0,0.0,2023-11-07,40,Mobile App,0,Not Churned,40-49,55,40,419.86,5,4,1,541,Loyal,Safe
137,21,F,Married,High,431.47,1,0.0,0.0,2023-06-19,38,Online Banking,1,Churned,20-29,196,38,431.47,3,4,1,341,Loyal,Safe
138,36,M,Divorced,Low,2804.65,8,1.0,1.0,2023-03-20,34,Online Banking,0,Not Churned,30-39,287,34,2804.65,2,4,5,245,Frequent,At Risk
139,64,F,Widowed,High,2045.49,7,2.0,1.0,2023-06-03,22,Website,0,Not Churned,60-69,212,22,2045.49,2,2,5,225,At Risk,At Risk
140,53,M,Married,High,1024.23,3,1.0,0.0,2023-10-21,18,Mobile App,0,Not Churned,50-59,72,18,1024.23,5,2,3,523,Recent,Monitor
141,38,F,Widowed,Medium,2483.75,7,2.0,0.0,2023-06-28,41,Online Banking,0,Not Churned,30-39,187,41,2483.75,3,5,5,355,Loyal,Safe
142,35,M,Divorced,High,1391.99,5,1.0,1.0,2023-04-27,18,Mobile App,0,Not Churned,30-39,249,18,1391.99,2,2,3,223,At Risk,At Risk
143,68,F,Widowed,Low,343.27,2,1.0,0.0,2023-12-25,13,Website,0,Not Churned,60-69,7,13,343.27,5,2,1,521,Recent,Monitor
144,45,F,Married,Low,419.85,1,1.0,0.0,2023-02-18,39,Online Banking,1,Churned,40-49,317,39,419.85,1,4,1,141,Frequent,Monitor
145,32,F,Married,High,1768.7,5,2.0,2.0,2023-10-11,16,Online Banking,0,Not Churned,30-39,82,16,1768.7,4,2,4,424,Recent,At Risk
146,59,F,Divorced,Low,1373.73,5,0.0,0.0,2023-12-12,8,Mobile App,0,Not Churned,50-59,20,8,1373.73,5,1,3,513,Recent,Monitor
147,19,F,Widowed,High,2260.34,8,2.0,1.0,2023-09-02,34,Mobile App,0,Not Churned,<20,121,34,2260.34,4,4,5,445,Champions,At Risk
148,54,F,Married,Medium,13.04,1,2.0,1.0,2023-03-09,29,Website,0,Not Churned,50-59,298,29,13.04,1,3,1,131,Others,At Risk
149,28,M,Single,Medium,444.84,1,1.0,0.0,2023-02-17,6,Online Banking,0,Not Churned,20-29,318,6,444.84,1,1,1,111,At Risk,At Risk
150,40,F,Widowed,Medium,1193.26,8,0.0,0.0,2023-06-29,38,Mobile App,0,Not Churned,40-49,186,38,1193.26,3,4,3,343,Loyal,Safe
151,61,M,Single,Medium,334.2,1,2.0,1.0,2023-06-02,36,Mobile App,0,Not Churned,60-69,213,36,334.2,2,4,1,241,Frequent,At Risk
152,58,F,Married,High,1448.8,7,0.0,0.0,2023-09-30,48,Mobile App,0,Not Churned,50-59,93,48,1448.8,4,5,3,453,Loyal,Safe
153,29,M,Married,Low,1735.16,5,1.0,1.0,2023-01-26,42,Online Banking,0,Not Churned,20-29,340,42,1735.16,1,5,4,154,Frequent,At Risk
154,20,F,Divorced,High,1753.55,7,0.0,0.0,2023-04-19,26,Mobile App,0,Not Churned,20-29,257,26,1753.55,2,3,4,234,Others,Monitor
155,69,M,Divorced,Low,1883.08,8,2.0,0.0,2023-04-08,18,Website,0,Not Churned,60-69,268,18,1883.08,2,2,4,224,At Risk,At Risk
156,34,F,Widowed,High,702.9200000000001,7,0.0,0.0,2023-06-30,11,Mobile App,0,Not Churned,30-39,185,11,702.9200000000001,3,1,2,312,Others,Monitor
157,50,M,Married,Low,2412.6800000000003,7,0.0,0.0,2023-06-13,27,Mobile App,0,Not Churned,50-59,202,27,2412.6800000000003,3,3,5,335,Loyal,Safe
158,18,F,Married,Low,1471.29,7,0.0,0.0,2023-10-03,30,Online Banking,0,Not Churned,<20,90,30,1471.29,4,3,4,434,Loyal,Safe
159,56,M,Married,High,25.75,1,2.0,2.0,2023-05-11,18,Website,0,Not Churned,50-59,235,18,25.75,2,2,1,221,At Risk,At Risk
160,37,M,Married,Medium,2053.13,8,2.0,1.0,2023-05-02,43,Online Banking,1,Churned,30-39,244,43,2053.13,2,5,5,255,Frequent,At Risk
161,64,M,Single,High,1983.84,6,1.0,1.0,2023-07-24,4,Mobile App,0,Not Churned,60-69,161,4,1983.84,3,1,5,315,Others,At Risk
162,60,F,Married,Medium,425.88,3,2.0,1.0,2023-06-11,6,Mobile App,0,Not Churned,60-69,204,6,425.88,3,1,1,311,Others,At Risk
163,69,M,Divorced,High,1064.88,3,2.0,1.0,2023-01-13,22,Mobile App,0,Not Churned,60-69,353,22,1064.88,1,2,3,123,At Risk,At Risk
164,58,F,Widowed,Low,955.49,5,1.0,0.0,2023-11-25,2,Website,1,Churned,50-59,37,2,955.49,5,1,2,512,Recent,Monitor
165,31,F,Widowed,Medium,181.34,1,0.0,0.0,2023-03-01,47,Mobile App,0,Not Churned,30-39,306,47,181.34,1,5,1,151,Frequent,Monitor
166,48,F,Widowed,Low,1241.5,5,1.0,0.0,2023-08-03,48,Online Banking,0,Not Churned,40-49,151,48,1241.5,3,5,3,353,Loyal,Safe
167,42,F,Single,Low,2356.35,8,1.0,0.0,2023-03-03,40,Website,0,Not Churned,40-49,304,40,2356.35,1,4,5,145,Frequent,Monitor
168,20,M,Married,Low,1126.93,4,2.0,1.0,2023-08-29,32,Website,1,Churned,20-29,125,32,1126.93,4,4,3,443,Loyal,At Risk
169,21,F,Widowed,High,2164.75,9,1.0,1.0,2023-06-18,39,Mobile App,0,Not Churned,20-29,197,39,2164.75,3,4,5,345,Loyal,At Risk
170,48,M,Divorced,Low,1448.33,7,1.0,1.0,2023-10-12,21,Website,1,Churned,40-49,81,21,1448.33,4,2,3,423,Recent,At Risk
171,52,F,Single,High,2532.71,7,1.0,0.0,2023-05-04,8,Mobile App,0,Not Churned,50-59,242,8,2532.71,2,1,5,215,At Risk,At Risk
172,61,M,Married,Medium,1972.76,6,2.0,1.0,2023-12-12,25,Website,0,Not Churned,60-69,20,25,1972.76,5,3,4,534,Loyal,At Risk
