CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpent,NumTransactions,NumInteractions,UnresolvedCount,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,Churn,AgeGroup,DemoCluster
32,69,F,Married,High,1225.52,5,0.0,0.0,2023-01-06,48,Mobile App,0,Not Churned,60+,0
33,23,M,Divorced,High,689.0,2,1.0,0.0,2023-05-19,24,Mobile App,1,Churned,<30,6
34,33,M,Widowed,High,1886.4,9,2.0,1.0,2023-04-03,44,Online Banking,0,Not Churned,30-40,5
35,65,M,Married,Low,779.8399999999999,3,1.0,1.0,2023-05-23,19,Mobile App,0,Not Churned,60+,4
36,18,F,Widowed,Low,1321.5500000000002,6,1.0,0.0,2023-02-11,6,Online Banking,0,Not Churned,<30,2
37,36,F,Married,Medium,3166.88,9,1.0,0.0,2023-08-28,3,Online Banking,0,Not Churned,30-40,0
38,53,F,Married,Low,874.86,3,1.0,0.0,2023-11-27,47,Online Banking,0,Not Churned,50-60,0
39,42,M,Married,Medium,1191.94,5,0.0,0.0,2023-01-20,26,Online Banking,0,Not Churned,40-50,4
40,67,F,Widowed,Low,1578.35,7,1.0,0.0,2023-10-14,20,Website,0,Not Churned,60+,2
41,69,F,Married,High,363.22,2,1.0,1.0,2023-07-04,38,Mobile App,1,Churned,60+,0
42,47,M,Widowed,Medium,530.61,3,0.0,0.0,2023-07-17,10,Mobile App,0,Not Churned,40-50,5
43,37,M,Single,Low,2213.63,7,2.0,1.0,2023-05-25,25,Mobile App,0,Not Churned,30-40,1
44,37,F,Widowed,Low,687.8199999999999,3,1.0,1.0,2023-11-13,35,Mobile App,0,Not Churned,30-40,2
45,32,F,Widowed,Low,300.42,1,1.0,1.0,2023-09-02,49,Online Banking,0,Not Churned,30-40,2
46,57,F,Married,High,134.67,1,0.0,0.0,2023-07-31,24,Online Banking,1,Churned,50-60,0
47,50,F,Married,Medium,1466.37,7,0.0,0.0,2023-04-19,21,Website,0,Not Churned,40-50,0
48,19,M,Divorced,Medium,1597.29,7,0.0,0.0,2023-06-12,34,Website,0,Not Churned,<30,6
49,27,F,Single,Medium,641.48,3,0.0,0.0,2023-02-19,18,Online Banking,0,Not Churned,<30,7
50,50,F,Single,Low,1514.62,4,2.0,2.0,2023-07-15,19,Online Banking,0,Not Churned,40-50,7
51,49,M,Divorced,Medium,549.86,3,0.0,0.0,2023-10-31,3,Mobile App,1,Churned,40-50,6
52,28,M,Widowed,Medium,401.25,1,0.0,0.0,2023-02-16,6,Mobile App,0,Not Churned,<30,5
53,41,F,Widowed,Low,1255.34,7,0.0,0.0,2023-10-02,20,Mobile App,0,Not Churned,40-50,2
54,53,F,Married,Low,461.21,2,2.0,0.0,2023-01-20,22,Online Banking,0,Not Churned,50-60,0
55,29,F,Single,Low,1129.35,5,0.0,0.0,2023-08-18,33,Website,0,Not Churned,<30,7
56,68,F,Married,Low,1443.46,5,0.0,0.0,2023-08-20,14,Mobile App,0,Not Churned,60+,0
57,46,F,Divorced,High,597.75,3,1.0,1.0,2023-07-20,44,Online Banking,0,Not Churned,40-50,3
58,52,M,Single,High,2215.82,6,2.0,2.0,2023-04-17,9,Online Banking,0,Not Churned,50-60,1
59,18,M,Married,Medium,292.51,3,0.0,0.0,2023-12-11,45,Online Banking,0,Not Churned,<30,4
60,18,F,Single,High,781.09,4,2.0,1.0,2023-03-02,25,Mobile App,0,Not Churned,<30,7
61,54,M,Single,Low,678.97,3,1.0,0.0,2023-12-27,47,Website,1,Churned,50-60,1
62,23,F,Married,High,840.0,4,2.0,0.0,2023-08-27,16,Mobile App,0,Not Churned,<30,0
63,56,M,Married,Low,2205.11,9,0.0,0.0,2023-05-26,7,Mobile App,0,Not Churned,50-60,4
64,58,F,Single,High,965.21,3,0.0,0.0,2023-06-03,11,Online Banking,0,Not Churned,50-60,7
65,35,F,Divorced,Low,1359.89,5,0.0,0.0,2023-09-25,27,Mobile App,0,Not Churned,30-40,3
66,33,M,Widowed,Medium,1409.11,8,0.0,0.0,2023-08-17,40,Online Banking,0,Not Churned,30-40,5
67,22,F,Single,Medium,701.76,4,2.0,0.0,2023-07-23,17,Online Banking,0,Not Churned,<30,7
68,59,F,Divorced,High,886.4799999999999,4,2.0,2.0,2023-07-25,5,Website,1,Churned,50-60,3
69,60,F,Single,Low,1038.53,4,1.0,0.0,2023-11-13,29,Mobile App,0,Not Churned,50-60,7
70,49,F,Married,Medium,2453.98,7,0.0,0.0,2023-03-15,10,Mobile App,0,Not Churned,40-50,0
71,19,F,Divorced,Low,474.59,3,2.0,1.0,2023-08-17,47,Online Banking,1,Churned,<30,3
72,19,F,Divorced,High,1080.4,6,2.0,1.0,2023-04-25,25,Online Banking,1,Churned,<30,3
73,57,M,Single,Low,2254.22,9,1.0,0.0,2023-10-27,24,Online Banking,1,Churned,50-60,1
74,59,M,Widowed,Low,2083.79,8,1.0,0.0,2023-02-19,44,Mobile App,0,Not Churned,50-60,5
75,53,F,Single,High,769.97,4,1.0,0.0,2023-06-17,12,Mobile App,1,Churned,50-60,7
76,56,F,Widowed,Medium,883.92,4,2.0,1.0,2023-05-09,5,Website,1,Churned,50-60,2
77,29,M,Divorced,High,1797.06,8,0.0,0.0,2023-10-15,29,Online Banking,0,Not Churned,<30,6
78,64,M,Widowed,Low,816.89,3,1.0,1.0,2023-10-07,35,Mobile App,0,Not Churned,60+,5
79,36,M,Married,High,931.32,3,1.0,0.0,2023-04-20,23,Online Banking,1,Churned,30-40,4
80,45,M,Widowed,High,110.82,1,0.0,0.0,2023-06-09,32,Mobile App,0,Not Churned,40-50,5
81,18,F,Widowed,Low,2181.77,8,0.0,0.0,2023-12-03,40,Website,1,Churned,<30,2
82,32,F,Divorced,High,232.38,1,0.0,0.0,2023-05-08,19,Mobile App,0,Not Churned,30-40,3
83,53,M,Widowed,Medium,1419.9199999999998,6,2.0,2.0,2023-12-31,25,Mobile App,0,Not Churned,50-60,5
84,30,M,Divorced,Medium,1545.91,5,0.0,0.0,2023-11-30,45,Online Banking,0,Not Churned,<30,6
85,60,M,Married,High,1690.08,9,0.0,0.0,2023-08-08,37,Mobile App,0,Not Churned,50-60,4
86,38,M,Married,Low,1674.66,7,0.0,0.0,2023-10-18,1,Website,0,Not Churned,30-40,4
87,29,F,Single,High,1411.84,5,2.0,1.0,2023-11-22,43,Website,0,Not Churned,<30,7
88,22,M,Single,High,447.34,2,0.0,0.0,2023-02-08,13,Online Banking,0,Not Churned,<30,1
89,24,M,Single,Medium,1951.99,7,0.0,0.0,2023-09-06,12,Mobile App,0,Not Churned,<30,1
90,22,M,Married,Medium,1229.96,6,1.0,0.0,2023-05-30,47,Online Banking,0,Not Churned,<30,4
91,65,F,Widowed,Low,1804.74,9,2.0,1.0,2023-02-03,43,Mobile App,0,Not Churned,60+,2
92,21,F,Divorced,Low,2265.28,8,2.0,1.0,2023-07-01,37,Mobile App,0,Not Churned,<30,3
93,30,F,Married,Low,848.07,5,2.0,0.0,2023-10-16,42,Mobile App,0,Not Churned,<30,0
94,54,M,Widowed,High,1113.61,3,0.0,0.0,2023-06-27,41,Website,0,Not Churned,50-60,5
95,58,F,Single,High,677.27,3,1.0,0.0,2023-06-20,12,Online Banking,0,Not Churned,50-60,7
96,32,F,Divorced,High,161.84,1,2.0,2.0,2023-02-27,36,Mobile App,0,Not Churned,30-40,3
97,33,M,Single,High,553.65,2,2.0,0.0,2023-12-20,38,Website,0,Not Churned,30-40,1
98,38,F,Divorced,Low,893.76,5,1.0,0.0,2023-05-23,9,Mobile App,0,Not Churned,30-40,3
99,53,M,Widowed,Low,889.75,5,0.0,0.0,2023-02-10,14,Online Banking,0,Not Churned,50-60,5
100,41,F,Married,Low,1108.56,4,2.0,0.0,2023-06-02,45,Online Banking,1,Churned,40-50,0
101,33,F,Single,High,492.35,1,2.0,1.0,2023-01-15,35,Online Banking,0,Not Churned,30-40,7
102,31,M,Married,High,2029.96,6,2.0,1.0,2023-01-14,32,Online Banking,0,Not Churned,30-40,4
103,39,M,Widowed,Low,2297.73,9,2.0,0.0,2023-04-27,46,Mobile App,0,Not Churned,30-40,5
104,66,F,Widowed,Medium,2666.84,9,2.0,1.0,2023-03-23,3,Online Banking,1,Churned,60+,2
105,67,F,Widowed,Low,1863.6,8,2.0,2.0,2023-12-24,30,Website,0,Not Churned,60+,2
106,23,M,Married,High,875.08,3,2.0,1.0,2023-07-20,49,Mobile App,0,Not Churned,<30,4
107,59,F,Married,High,1542.76,6,0.0,0.0,2023-01-27,7,Online Banking,1,Churned,50-60,0
108,53,M,Divorced,Low,494.31,2,2.0,2.0,2023-03-24,1,Mobile App,1,Churned,50-60,6
109,18,M,Married,Medium,1274.7,6,2.0,2.0,2023-04-28,20,Mobile App,0,Not Churned,<30,4
110,49,M,Married,Medium,723.0,3,2.0,0.0,2023-10-10,25,Website,1,Churned,40-50,4
111,23,F,Widowed,High,613.1800000000001,2,1.0,1.0,2023-06-17,33,Website,1,Churned,<30,2
112,48,F,Divorced,High,750.17,3,1.0,0.0,2023-10-16,35,Website,0,Not Churned,40-50,3
113,18,F,Married,High,1834.01,7,1.0,1.0,2023-04-12,44,Online Banking,0,Not Churned,<30,0
114,67,F,Married,Low,2133.28,8,0.0,0.0,2023-08-02,24,Website,0,Not Churned,60+,0
115,68,F,Widowed,High,653.62,5,0.0,0.0,2023-09-21,14,Mobile App,0,Not Churned,60+,2
116,54,M,Married,High,1504.28,7,1.0,0.0,2023-08-20,39,Mobile App,0,Not Churned,50-60,4
117,52,F,Widowed,High,448.48,2,0.0,0.0,2023-12-25,44,Online Banking,0,Not Churned,50-60,2
118,66,M,Divorced,Medium,1625.39,6,1.0,1.0,2023-10-01,34,Online Banking,0,Not Churned,60+,6
119,47,M,Widowed,Medium,2012.33,8,2.0,0.0,2023-03-29,18,Mobile App,1,Churned,40-50,5
120,21,F,Widowed,High,1168.79,6,2.0,1.0,2023-02-23,2,Online Banking,0,Not Churned,<30,2
121,52,M,Divorced,Medium,1073.01,5,2.0,1.0,2023-09-09,38,Mobile App,0,Not Churned,50-60,6
122,60,F,Single,Medium,2825.52,9,1.0,0.0,2023-06-14,17,Mobile App,1,Churned,50-60,7
123,31,M,Widowed,Medium,938.58,3,2.0,0.0,2023-03-15,23,Mobile App,1,Churned,30-40,5
124,66,M,Married,Medium,2283.88,7,2.0,0.0,2023-02-19,33,Website,0,Not Churned,60+,4
125,57,M,Widowed,Low,744.89,2,0.0,0.0,2023-06-21,28,Online Banking,0,Not Churned,50-60,5
126,39,F,Divorced,Medium,2323.02,9,0.0,0.0,2023-05-14,15,Website,0,Not Churned,30-40,3
127,27,F,Married,Medium,1976.17,8,1.0,0.0,2023-01-18,11,Website,0,Not Churned,<30,0
128,18,F,Divorced,Medium,630.2,2,2.0,1.0,2023-07-07,23,Website,1,Churned,<30,3
129,28,F,Widowed,Medium,243.55,2,1.0,0.0,2023-03-21,13,Website,0,Not Churned,<30,2
130,68,M,Divorced,Low,552.23,2,1.0,1.0,2023-02-25,47,Mobile App,0,Not Churned,60+,6
131,61,F,Divorced,Low,2726.7,8,1.0,0.0,2023-09-24,11,Website,0,Not Churned,60+,3
132,41,F,Single,High,1879.94,9,0.0,0.0,2023-06-15,36,Website,0,Not Churned,40-50,7
133,20,M,Widowed,Medium,896.27,4,1.0,0.0,2023-04-13,38,Mobile App,0,Not Churned,<30,5
134,52,M,Widowed,Medium,1570.08,6,1.0,1.0,2023-01-05,27,Mobile App,0,Not Churned,50-60,5
135,53,F,Widowed,High,441.75,2,0.0,0.0,2023-06-19,18,Mobile App,0,Not Churned,50-60,2
136,48,M,Widowed,Low,419.86,2,0.0,0.0,2023-11-07,40,Mobile App,0,Not Churned,40-50,5
137,21,F,Married,High,431.47,1,0.0,0.0,2023-06-19,38,Online Banking,1,Churned,<30,0
138,36,M,Divorced,Low,2804.65,8,1.0,1.0,2023-03-20,34,Online Banking,0,Not Churned,30-40,6
139,64,F,Widowed,High,2045.49,7,2.0,1.0,2023-06-03,22,Website,0,Not Churned,60+,2
140,53,M,Married,High,1024.23,3,1.0,0.0,2023-10-21,18,Mobile App,0,Not Churned,50-60,4
141,38,F,Widowed,Medium,2483.75,7,2.0,0.0,2023-06-28,41,Online Banking,0,Not Churned,30-40,2
142,35,M,Divorced,High,1391.99,5,1.0,1.0,2023-04-27,18,Mobile App,0,Not Churned,30-40,6
143,68,F,Widowed,Low,343.27,2,1.0,0.0,2023-12-25,13,Website,0,Not Churned,60+,2
144,45,F,Married,Low,419.85,1,1.0,0.0,2023-02-18,39,Online Banking,1,Churned,40-50,0
145,32,F,Married,High,1768.7,5,2.0,2.0,2023-10-11,16,Online Banking,0,Not Churned,30-40,0
146,59,F,Divorced,Low,1373.73,5,0.0,0.0,2023-12-12,8,Mobile App,0,Not Churned,50-60,3
147,19,F,Widowed,High,2260.34,8,2.0,1.0,2023-09-02,34,Mobile App,0,Not Churned,<30,2
148,54,F,Married,Medium,13.04,1,2.0,1.0,2023-03-09,29,Website,0,Not Churned,50-60,0
149,28,M,Single,Medium,444.84,1,1.0,0.0,2023-02-17,6,Online Banking,0,Not Churned,<30,1
150,40,F,Widowed,Medium,1193.26,8,0.0,0.0,2023-06-29,38,Mobile App,0,Not Churned,30-40,2
151,61,M,Single,Medium,334.2,1,2.0,1.0,2023-06-02,36,Mobile App,0,Not Churned,60+,1
152,58,F,Married,High,1448.8,7,0.0,0.0,2023-09-30,48,Mobile App,0,Not Churned,50-60,0
153,29,M,Married,Low,1735.16,5,1.0,1.0,2023-01-26,42,Online Banking,0,Not Churned,<30,4
154,20,F,Divorced,High,1753.55,7,0.0,0.0,2023-04-19,26,Mobile App,0,Not Churned,<30,3
155,69,M,Divorced,Low,1883.08,8,2.0,0.0,2023-04-08,18,Website,0,Not Churned,60+,6
156,34,F,Widowed,High,702.9200000000001,7,0.0,0.0,2023-06-30,11,Mobile App,0,Not Churned,30-40,2
157,50,M,Married,Low,2412.6800000000003,7,0.0,0.0,2023-06-13,27,Mobile App,0,Not Churned,40-50,4
158,18,F,Married,Low,1471.29,7,0.0,0.0,2023-10-03,30,Online Banking,0,Not Churned,<30,0
159,56,M,Married,High,25.75,1,2.0,2.0,2023-05-11,18,Website,0,Not Churned,50-60,4
160,37,M,Married,Medium,2053.13,8,2.0,1.0,2023-05-02,43,Online Banking,1,Churned,30-40,4
161,64,M,Single,High,1983.84,6,1.0,1.0,2023-07-24,4,Mobile App,0,Not Churned,60+,1
162,60,F,Married,Medium,425.88,3,2.0,1.0,2023-06-11,6,Mobile App,0,Not Churned,50-60,0
163,69,M,Divorced,High,1064.88,3,2.0,1.0,2023-01-13,22,Mobile App,0,Not Churned,60+,6
164,58,F,Widowed,Low,955.49,5,1.0,0.0,2023-11-25,2,Website,1,Churned,50-60,2
165,31,F,Widowed,Medium,181.34,1,0.0,0.0,2023-03-01,47,Mobile App,0,Not Churned,30-40,2
166,48,F,Widowed,Low,1241.5,5,1.0,0.0,2023-08-03,48,Online Banking,0,Not Churned,40-50,2
167,42,F,Single,Low,2356.35,8,1.0,0.0,2023-03-03,40,Website,0,Not Churned,40-50,7
168,20,M,Married,Low,1126.93,4,2.0,1.0,2023-08-29,32,Website,1,Churned,<30,4
169,21,F,Widowed,High,2164.75,9,1.0,1.0,2023-06-18,39,Mobile App,0,Not Churned,<30,2
170,48,M,Divorced,Low,1448.33,7,1.0,1.0,2023-10-12,21,Website,1,Churned,40-50,6
171,52,F,Single,High,2532.71,7,1.0,0.0,2023-05-04,8,Mobile App,0,Not Churned,50-60,7
172,61,M,Married,Medium,1972.76,6,2.0,1.0,2023-12-12,25,Website,0,Not Churned,60+,4
173,31,F,Married,Low,606.09,3,1.0,0.0,2023-10-22,41,Mobile App,0,Not Churned,30-40,0
174,66,F,Married,Medium,1801.46,7,1.0,1.0,2023-03-09,36,Mobile App,1,Churned,60+,0
175,58,M,Married,Medium,1218.9,7,2.0,1.0,2023-11-27,4,Website,0,Not Churned,50-60,4
176,26,F,Single,High,936.78,6,0.0,0.0,2023-09-23,15,Website,1,Churned,<30,7
177,37,F,Divorced,Medium,429.79,1,1.0,1.0,2023-03-05,28,Website,0,Not Churned,30-40,3
178,49,F,Married,High,741.63,3,0.0,0.0,2023-05-06,20,Website,0,Not Churned,40-50,0
179,26,F,Single,High,412.58,2,0.0,0.0,2023-09-06,38,Website,0,Not Churned,<30,7
180,44,F,Single,Medium,1985.93,7,0.0,0.0,2023-01-30,6,Online Banking,0,Not Churned,40-50,7
181,20,F,Divorced,Medium,715.6800000000001,2,0.0,0.0,2023-04-22,30,Mobile App,0,Not Churned,<30,3
182,21,F,Single,Medium,1491.65,5,2.0,0.0,2023-06-12,32,Online Banking,0,Not Churned,<30,7
183,62,F,Single,High,1135.44,3,1.0,0.0,2023-04-21,49,Online Banking,1,Churned,60+,7
184,32,M,Widowed,High,97.19,2,0.0,0.0,2023-04-14,41,Online Banking,0,Not Churned,30-40,5
185,50,F,Widowed,Medium,1284.89,6,2.0,0.0,2023-10-23,4,Online Banking,0,Not Churned,40-50,2
186,22,M,Divorced,High,460.87,3,0.0,0.0,2023-10-18,35,Mobile App,0,Not Churned,<30,6
187,21,F,Widowed,Medium,513.26,2,2.0,0.0,2023-01-09,30,Mobile App,0,Not Churned,<30,2
188,63,M,Single,High,1768.25,6,2.0,1.0,2023-03-29,49,Mobile App,0,Not Churned,60+,1
189,29,M,Single,High,574.4699999999999,3,2.0,1.0,2023-06-21,41,Mobile App,0,Not Churned,<30,1
190,40,M,Divorced,Low,1417.97,7,1.0,1.0,2023-04-01,22,Website,1,Churned,30-40,6
191,31,F,Single,Low,1942.65,7,2.0,1.0,2023-02-15,2,Website,0,Not Churned,30-40,7
192,63,F,Divorced,Medium,1172.53,3,2.0,1.0,2023-07-07,12,Website,0,Not Churned,60+,3
193,29,M,Widowed,Low,270.34,1,2.0,1.0,2023-05-11,34,Website,0,Not Churned,<30,5
194,34,F,Widowed,High,1388.97,5,0.0,0.0,2023-10-23,34,Website,0,Not Churned,30-40,2
195,42,F,Married,Medium,1711.71,6,2.0,1.0,2023-03-07,14,Website,0,Not Churned,40-50,0
196,47,M,Widowed,Low,2134.16,8,2.0,2.0,2023-01-22,39,Website,0,Not Churned,40-50,5
197,39,F,Married,Medium,925.43,4,2.0,1.0,2023-03-16,39,Online Banking,1,Churned,30-40,0
198,64,M,Married,Medium,1461.25,7,0.0,0.0,2023-06-21,45,Online Banking,0,Not Churned,60+,4
199,43,M,Married,High,1270.25,6,2.0,1.0,2023-01-08,6,Website,0,Not Churned,40-50,4
200,34,F,Single,Low,1702.06,6,2.0,0.0,2023-02-10,8,Online Banking,0,Not Churned,30-40,7
201,37,M,Married,High,956.58,3,2.0,1.0,2023-08-14,27,Online Banking,1,Churned,30-40,4
202,51,F,Widowed,Medium,336.18,1,2.0,0.0,2023-03-07,12,Mobile App,0,Not Churned,50-60,2
203,58,F,Divorced,Medium,1767.9,6,2.0,0.0,2023-04-16,21,Website,0,Not Churned,50-60,3
204,50,F,Widowed,Medium,454.14,2,2.0,1.0,2023-05-08,38,Online Banking,0,Not Churned,40-50,2
205,54,F,Divorced,Low,741.9699999999999,4,0.0,0.0,2023-01-27,4,Mobile App,0,Not Churned,50-60,3
206,24,M,Widowed,High,99.58,1,0.0,0.0,2023-11-27,25,Mobile App,0,Not Churned,<30,5
207,39,F,Divorced,High,1799.17,8,0.0,0.0,2023-03-28,43,Website,0,Not Churned,30-40,3
208,49,F,Widowed,Low,436.89,2,0.0,0.0,2023-06-03,24,Online Banking,0,Not Churned,40-50,2
209,31,F,Divorced,High,1328.06,4,0.0,0.0,2023-10-12,12,Mobile App,0,Not Churned,30-40,3
210,25,M,Married,High,1727.27,7,0.0,0.0,2023-07-24,29,Online Banking,0,Not Churned,<30,4
211,42,M,Divorced,Medium,1222.21,6,0.0,0.0,2023-03-03,35,Online Banking,0,Not Churned,40-50,6
212,33,F,Married,Medium,1047.61,7,1.0,0.0,2023-06-14,37,Website,0,Not Churned,30-40,0
213,59,F,Widowed,Medium,2092.89,7,1.0,0.0,2023-02-23,30,Website,1,Churned,50-60,2
214,36,F,Divorced,Low,734.1,2,0.0,0.0,2023-11-02,41,Online Banking,0,Not Churned,30-40,3
215,58,F,Divorced,Medium,1343.7,6,2.0,2.0,2023-11-07,42,Online Banking,0,Not Churned,50-60,3
216,33,F,Widowed,High,1570.86,5,2.0,0.0,2023-09-06,35,Mobile App,0,Not Churned,30-40,2
217,29,M,Married,Low,2576.78,8,1.0,1.0,2023-08-14,1,Online Banking,1,Churned,<30,4
218,56,F,Married,High,1766.57,7,0.0,0.0,2023-06-12,40,Mobile App,0,Not Churned,50-60,0
219,65,M,Single,Low,1624.32,4,0.0,0.0,2023-07-18,26,Online Banking,0,Not Churned,60+,1
220,47,M,Single,High,1030.46,3,0.0,0.0,2023-11-12,35,Online Banking,0,Not Churned,40-50,1
221,19,F,Single,Low,1277.29,4,1.0,0.0,2023-06-16,42,Mobile App,1,Churned,<30,7
222,49,M,Divorced,High,1702.45,7,0.0,0.0,2023-06-03,7,Website,0,Not Churned,40-50,6
223,62,F,Divorced,Medium,1736.26,6,1.0,0.0,2023-07-22,4,Online Banking,0,Not Churned,60+,3
224,42,M,Divorced,Low,2520.32,8,0.0,0.0,2023-05-16,5,Website,0,Not Churned,40-50,6
225,42,M,Widowed,High,2650.29,8,2.0,1.0,2023-07-15,39,Online Banking,0,Not Churned,40-50,5
226,21,F,Single,High,1461.18,7,1.0,1.0,2023-03-10,11,Mobile App,0,Not Churned,<30,7
227,36,M,Widowed,High,1250.35,7,0.0,0.0,2023-11-08,15,Online Banking,1,Churned,30-40,5
228,65,F,Single,High,2185.36,6,2.0,1.0,2023-10-16,32,Website,0,Not Churned,60+,7
229,21,F,Single,Medium,2559.03,9,1.0,1.0,2023-12-23,37,Website,0,Not Churned,<30,7
230,60,F,Divorced,Medium,1468.07,6,2.0,1.0,2023-09-04,9,Online Banking,1,Churned,50-60,3
231,30,F,Married,Low,1353.42,4,0.0,0.0,2023-02-20,47,Online Banking,1,Churned,<30,0
232,56,F,Single,Low,2082.19,8,2.0,2.0,2023-09-08,32,Online Banking,0,Not Churned,50-60,7
233,53,F,Married,High,817.4200000000001,3,2.0,0.0,2023-09-18,33,Website,0,Not Churned,50-60,0
234,40,M,Widowed,Low,1576.7,8,0.0,0.0,2023-06-19,23,Online Banking,1,Churned,30-40,5
235,23,M,Divorced,High,770.5,3,2.0,2.0,2023-12-28,15,Mobile App,0,Not Churned,<30,6
236,41,F,Single,Low,1482.99,6,2.0,0.0,2023-09-25,30,Online Banking,1,Churned,40-50,7
237,61,M,Divorced,Low,398.99,1,0.0,0.0,2023-01-13,16,Online Banking,1,Churned,60+,6
238,50,M,Widowed,High,762.4399999999999,3,1.0,1.0,2023-09-20,22,Mobile App,1,Churned,40-50,5
239,29,F,Married,Medium,2654.84,9,1.0,1.0,2023-10-09,43,Mobile App,1,Churned,<30,0
240,58,M,Divorced,High,859.47,2,1.0,0.0,2023-07-27,30,Online Banking,0,Not Churned,50-60,6
241,38,F,Divorced,Medium,2185.9300000000003,9,1.0,0.0,2023-12-19,1,Mobile App,0,Not Churned,30-40,3
242,28,F,Single,Low,726.73,3,2.0,1.0,2023-02-16,35,Online Banking,1,Churned,<30,7
243,61,M,Married,Medium,2362.18,9,1.0,1.0,2023-12-09,18,Website,0,Not Churned,60+,4
244,55,F,Widowed,High,1649.9,7,2.0,2.0,2023-06-21,15,Online Banking,0,Not Churned,50-60,2
245,46,F,Single,Low,2965.09,9,0.0,0.0,2023-05-18,21,Online Banking,0,Not Churned,40-50,7
246,65,F,Divorced,Medium,1171.14,4,1.0,0.0,2023-03-24,40,Mobile App,0,Not Churned,60+,3
247,58,F,Divorced,Medium,1887.68,7,2.0,0.0,2023-12-24,2,Online Banking,0,Not Churned,50-60,3
248,20,M,Married,High,1519.14,5,1.0,1.0,2023-08-26,30,Online Banking,1,Churned,<30,4
249,45,F,Widowed,Low,356.39,1,1.0,1.0,2023-02-06,40,Website,0,Not Churned,40-50,2
